,Title,Author,Link,Bookshelf
308,"Tom Swift and His Motor-Cycle; Or, Fun and Adventures on the Road",Appleton,http://www.gutenberg.org/ebooks/4230,Children's
309,The Bobbsey Twins,Laura Lee Hope,http://www.gutenberg.org/ebooks/17412,Children's
310,The Adventures of Old Mr. Toad,Thornton W. Burgess,http://www.gutenberg.org/ebooks/12630,Children's
311,The Tale of Miss Kitty Cat,Arthur Scott Bailey,http://www.gutenberg.org/ebooks/21078,Children's
312,Elsie's Girlhood,Martha Finley,http://www.gutenberg.org/ebooks/9963,Children's
313,Tom Swift and His Airship,Victor Appleton,http://www.gutenberg.org/ebooks/3005,Children's
314,The Adventures of Grandfather Frog,Thornton W. Burgess,http://www.gutenberg.org/ebooks/14375,Children's
315,The Tale of Solomon Owl,Arthur Scott Bailey,http://www.gutenberg.org/ebooks/16663,Children's
316,"Tom Swift and His Electric Rifle; Or, Daring Adventures in Elephant Land",,http://www.gutenberg.org/ebooks/3777,Children's
317,"Tom Swift in the Land of Wonders; Or, The Underground Search for the Idol of",,http://www.gutenberg.org/ebooks/499,Children's
318,Elsie's Womanhood,Martha Finley,http://www.gutenberg.org/ebooks/14874,Children's
319,The Moving Picture Girls in War Plays,Laura Lee Hope,http://www.gutenberg.org/ebooks/20348,Children's
320,"Tom Swift and His Motor-Boat; Or, The Rivals of Lake Carlopa",Victor Appleton,http://www.gutenberg.org/ebooks/2273,Children's
321,"Mother West Wind ""How"" Stories",Thornton W. Burgess,http://www.gutenberg.org/ebooks/21286,Children's
322,The Tale of Betsy Butterfly,Arthur Scott Bailey,http://www.gutenberg.org/ebooks/21322,Children's
323,Christmas Holidays at Merryvale,Alice Hale Burnett,http://www.gutenberg.org/ebooks/23569,Children's
324,Tom Swift and His Photo Telephone or the Picture That Saved a Fortune,Appleton,http://www.gutenberg.org/ebooks/4532,Children's
325,Andersen's Fairy Tales,H. C. Andersen,http://www.gutenberg.org/ebooks/1597,Children's
326,Favorite Fairy Tales,Logan Marshall,http://www.gutenberg.org/ebooks/20748,Children's
327,Japanese Fairy Tales,Yei Theodora Ozaki,http://www.gutenberg.org/ebooks/4018,Children's
328,Irish Fairy Tales,James Stephens,http://www.gutenberg.org/ebooks/2892,Children's
329,English Fairy Tales,Joseph Jacobs,http://www.gutenberg.org/ebooks/7439,Children's
330,The Children of Odin: The Book of Northern Myths,Padraic Colum,http://www.gutenberg.org/ebooks/24737,Children's
331,A Book of Myths,Jean Lang,http://www.gutenberg.org/ebooks/22693,Children's
332,Russian Fairy Tales: A Choice Collection of Muscovite Folk-lore,Ralston,http://www.gutenberg.org/ebooks/22373,Children's
333,Viking Tales,Jennie Hall,http://www.gutenberg.org/ebooks/24811,Children's
334,American Fairy Tales,L. Frank Baum,http://www.gutenberg.org/ebooks/4357,Children's
335,Indian Fairy Tales,Joseph Jacobs and John Dickson Batten,http://www.gutenberg.org/ebooks/7128,Children's
336,"A Primary Reader: Old-time Stories, Fairy Tales and Myths Retold",Children,http://www.gutenberg.org/ebooks/7841,Children's
337,Fairy Tales Every Child Should Know,Hamilton Wright Mabie,http://www.gutenberg.org/ebooks/14916,Children's
338,"The Heroes; Or, Greek Fairy Tales for My Children",Charles Kingsley,http://www.gutenberg.org/ebooks/677,Children's
339,Stories the Iroquois Tell Their Children,Mabel Powers,http://www.gutenberg.org/ebooks/22096,Children's
340,English Fairy Tales,Flora Annie Webster Steel,http://www.gutenberg.org/ebooks/17034,Children's
341,Celtic Fairy Tales,Joseph Jacobs,http://www.gutenberg.org/ebooks/7885,Children's
342,The Book of Nature Myths,Florence Holbrook,http://www.gutenberg.org/ebooks/22420,Children's
343,Folk Tales Every Child Should Know,Hamilton Wright Mabie,http://www.gutenberg.org/ebooks/15164,Children's
344,More English Fairy Tales,Joseph Jacobs and John Dickson Batten,http://www.gutenberg.org/ebooks/14241,Children's
345,My Book of Favourite Fairy Tales,Edric Vredenburg,http://www.gutenberg.org/ebooks/15145,Children's
346,More Russian Picture Tales,Valerian Viliamovich Karrik,http://www.gutenberg.org/ebooks/23462,Children's
347,A Chinese Wonder Book,Norman Hinsdale Pitman,http://www.gutenberg.org/ebooks/18674,Children's
348,Myths That Every Child Should Know,Hamilton Wright Mabie and Blanche Ostertag,http://www.gutenberg.org/ebooks/16537,Children's
349,King Arthur's Knights,Henry Gilbert,http://www.gutenberg.org/ebooks/22396,Children's
350,A Little Princess,Frances Hodgson Burnett,http://www.gutenberg.org/ebooks/146,School
351,"The Politeness of Princes, and Other School Stories",P. G. Wodehouse,http://www.gutenberg.org/ebooks/8178,School
352,Daddy-Long-Legs,Jean Webster,http://www.gutenberg.org/ebooks/157,School
353,Little Men: Life at Plumfield With Jo's Boys,Louisa May Alcott,http://www.gutenberg.org/ebooks/2788,School
354,Tom Brown's School Days,Thomas Hughes,http://www.gutenberg.org/ebooks/1480,School
355,Jo's Boys,Louisa May Alcott,http://www.gutenberg.org/ebooks/3499,School
356,Mike,P. G. Wodehouse,http://www.gutenberg.org/ebooks/7423,School
357,The Luckiest Girl in the School,Angela Brazil,http://www.gutenberg.org/ebooks/18019,School
358,Mike and Psmith,P. G. Wodehouse,http://www.gutenberg.org/ebooks/10586,School
359,The Gold Bat,P. G. Wodehouse,http://www.gutenberg.org/ebooks/6879,School
360,A Little Princess,Frances Hodgson Burnett,http://www.gutenberg.org/ebooks/19514,School
361,"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School",Burnett,http://www.gutenberg.org/ebooks/137,School
362,A Popular Schoolgirl,Angela Brazil,http://www.gutenberg.org/ebooks/18505,School
363,What Katy Did at School,Susan Coolidge,http://www.gutenberg.org/ebooks/5141,School
364,Tales of St. Austin's,P. G. Wodehouse,http://www.gutenberg.org/ebooks/6980,School
365,The White Feather,P. G. Wodehouse,http://www.gutenberg.org/ebooks/6927,School
366,A Prefect's Uncle,P. G. Wodehouse,http://www.gutenberg.org/ebooks/6985,School
367,The Pothunters,P. G. Wodehouse,http://www.gutenberg.org/ebooks/6984,School
368,The Youngest Girl in the Fifth: A School Story,Angela Brazil,http://www.gutenberg.org/ebooks/21687,School
369,The Head of Kay's,P. G. Wodehouse,http://www.gutenberg.org/ebooks/6877,School
370,The Princess of the School,Angela Brazil,http://www.gutenberg.org/ebooks/21656,School
371,The New Girl at St. Chad's: A Story of School Life,Angela Brazil,http://www.gutenberg.org/ebooks/24025,School
372,Grace Harlowe's Junior Year at High School,Josephine Chase,http://www.gutenberg.org/ebooks/17811,School
373,"The Rover Boys at School; Or, The Cadets of Putnam Hall",Edward Stratemeyer,http://www.gutenberg.org/ebooks/5780,School
374,The Rebel of the School,L. T. Meade,http://www.gutenberg.org/ebooks/15839,School
375,The Literary World Seventh Reader,"Browne, Metcalf, and Withers",http://www.gutenberg.org/ebooks/19721,Children's
376,"McGuffey's First Eclectic Reader, Revised Edition",William Holmes McGuffey,http://www.gutenberg.org/ebooks/14640,Children's
377,A First Spanish Reader,Alfred Remy and Erwin W. Roessler,http://www.gutenberg.org/ebooks/15353,Children's
378,An Elementary Spanish Reader,Earl Stanley Harrison,http://www.gutenberg.org/ebooks/22065,Children's
379,"The Boy Mechanic, Volume 1: 700 Things for Boys to Do",H. H. Windsor,http://www.gutenberg.org/ebooks/12655,Children's
380,Wild Animals I Have Known,Ernest Thompson Seton,http://www.gutenberg.org/ebooks/3031,Children's
381,The Burgess Animal Book for Children,Thornton W. Burgess,http://www.gutenberg.org/ebooks/2441,Children's
382,"A Primary Reader: Old-time Stories, Fairy Tales and Myths Retold",Children,http://www.gutenberg.org/ebooks/7841,Children's
383,McGuffey's Second Eclectic Reader,William Holmes McGuffey,http://www.gutenberg.org/ebooks/14668,Children's
384,McGuffey's Third Eclectic Reader,William Holmes McGuffey,http://www.gutenberg.org/ebooks/14766,Children's
385,McGuffey's Fifth Eclectic Reader,William Holmes McGuffey,http://www.gutenberg.org/ebooks/15040,Children's
386,The Story of Young Abraham Lincoln,Wayne Whipple,http://www.gutenberg.org/ebooks/22925,Children's
387,McGuffey's Fourth Eclectic Reader,William Holmes McGuffey,http://www.gutenberg.org/ebooks/14880,Children's
388,The Book of Nature Myths,Florence Holbrook,http://www.gutenberg.org/ebooks/22420,Children's
389,McGuffey's Sixth Eclectic Reader,William Holmes McGuffey,http://www.gutenberg.org/ebooks/16751,Children's
390,The History of Insects,Unknown,http://www.gutenberg.org/ebooks/10834,Children's
391,On the Trail: An Outdoor Book for Girls,Adelia B. Beard and Lina Beard,http://www.gutenberg.org/ebooks/18525,Children's
392,Poems Teachers Ask For,Various,http://www.gutenberg.org/ebooks/18909,Children's
393,Ritchie's Fabulae Faciles: A First Latin Reader,Francis Ritchie,http://www.gutenberg.org/ebooks/8997,Children's
394,Harry's Ladder to Learning,Anonymous,http://www.gutenberg.org/ebooks/24644,Children's
395,First Italian Readings,Various,http://www.gutenberg.org/ebooks/24072,Children's
396,Electricity for Boys,James Slough Zerbe,http://www.gutenberg.org/ebooks/22766,Children's
397,The Beacon Second Reader,James H. Fassett,http://www.gutenberg.org/ebooks/15659,Children's
398,How to Write Clearly: Rules and Exercises on English Composition,Abbott,http://www.gutenberg.org/ebooks/22600,Children's
399,A Book of Natural History,David Starr Jordan,http://www.gutenberg.org/ebooks/18274,Children's
400,Nonsense Books,Edward Lear,http://www.gutenberg.org/ebooks/13650,Children's
401,The Book of Nonsense,Edward Lear,http://www.gutenberg.org/ebooks/982,Children's
402,A Book of Nonsense,Edward Lear,http://www.gutenberg.org/ebooks/13646,Children's
403,A Child's Garden of Verses,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/19722,Children's
404,Nonsense Songs,Edward Lear,http://www.gutenberg.org/ebooks/13647,Children's
405,A Floral Fantasy in an Old English Garden,Walter Crane,http://www.gutenberg.org/ebooks/24485,Children's
406,Dramatized Rhythm Plays,John N. Richards,http://www.gutenberg.org/ebooks/22035,Children's
407,The Peter Patter Book of Nursery Rhymes,Leroy F. Jackson,http://www.gutenberg.org/ebooks/22014,Children's
408,Fables in Rhyme for Little Folks,Jean de La Fontaine,http://www.gutenberg.org/ebooks/24108,Children's
409,Nonsense Drolleries,Edward Lear,http://www.gutenberg.org/ebooks/20113,Children's
410,"Aesop, in Rhyme: Old Friends in a New Dress",Aesop and Marmaduke Park,http://www.gutenberg.org/ebooks/21189,Children's
411,Songs of Childhood,Walter De la Mare,http://www.gutenberg.org/ebooks/23545,Children's
412,Animal Children: The Friends of the Forest and the Plain,Edith Brown Kirkwood,http://www.gutenberg.org/ebooks/17782,Children's
413,More Nonsense,Edward Lear,http://www.gutenberg.org/ebooks/13648,Children's
414,The Jingle Book,Carolyn Wells,http://www.gutenberg.org/ebooks/24560,Children's
415,"Queen Summer; Or, The Tourney of the Lily and the Rose",Walter Crane,http://www.gutenberg.org/ebooks/24449,Children's
416,A Nonsense Anthology,Carolyn Wells,http://www.gutenberg.org/ebooks/9380,Children's
417,The Infant's Delight: Poetry,Anonymous,http://www.gutenberg.org/ebooks/10912,Children's
418,Child Songs of Cheer,Evaleen Stein,http://www.gutenberg.org/ebooks/19389,Children's
419,The Owl and the Pussycat,Edward Lear,http://www.gutenberg.org/ebooks/23897,Children's
420,Beethoven : The story of a little boy who was forced to practice,Thomas Tapper,http://www.gutenberg.org/ebooks/34737,Child's
421,Johann Sebastian Bach : The story of the boy who sang in the streets,Tapper,http://www.gutenberg.org/ebooks/34568,Child's
422,Wagner : The Story of the Boy Who Wrote Little Plays,Thomas Tapper,http://www.gutenberg.org/ebooks/35128,Child's
423,Mozart : The story of a little boy and his sister who gave concerts,Tapper,http://www.gutenberg.org/ebooks/34582,Child's
424,Handel : The Story of a Little Boy who Practiced in an Attic,Thomas Tapper,http://www.gutenberg.org/ebooks/35157,Child's
425,Chopin : The Story of the Boy Who Made Beautiful Melodies,Thomas Tapper,http://www.gutenberg.org/ebooks/35013,Child's
426,Franz Joseph Haydn : The Story of the Choir Boy who became a Great Composer,,http://www.gutenberg.org/ebooks/34550,Child's
427,Robt. Schumann : The Story of the Boy Who Made Pictures in Music,Thomas Tapper,http://www.gutenberg.org/ebooks/35596,Child's
428,Franz Schubert : The Story of the Boy Who Wrote Beautiful Songs,Thomas Tapper,http://www.gutenberg.org/ebooks/35070,Child's
429,Franz Liszt : The Story of a Boy Who Became a Great Pianist and Teacher,Tapper,http://www.gutenberg.org/ebooks/35601,Child's
430,Verdi : The Story of the Little Boy who Loved the Hand Organ,Thomas Tapper,http://www.gutenberg.org/ebooks/35158,Child's
431,Edvard Grieg : The Story of the Boy Who Made Music in the Land of the Midnight,,http://www.gutenberg.org/ebooks/35097,Child's
432,The Wonder Book of Bible Stories,Logan Marshall,http://www.gutenberg.org/ebooks/16042,Children's
433,The Children's Bible,Charles Foster Kent and Henry A. Sherman,http://www.gutenberg.org/ebooks/23580,Children's
434,Mother Stories from the Old Testament,Anonymous,http://www.gutenberg.org/ebooks/17162,Children's
435,The Children's Six Minutes,Bruce S. Wright,http://www.gutenberg.org/ebooks/14411,Children's
436,Mother Stories from the New Testament,Anonymous,http://www.gutenberg.org/ebooks/17163,Children's
437,Wee Ones' Bible Stories,Anonymous,http://www.gutenberg.org/ebooks/11241,Children's
438,Bible Stories and Religious Classics,Philip P. Wells,http://www.gutenberg.org/ebooks/10380,Children's
439,A Young Folks' History of the Church of Jesus Christ of Latter-day Saints,,http://www.gutenberg.org/ebooks/16534,Children's
440,Children's Edition of Touching Incidents and Remarkable Answers to Prayer,Shaw,http://www.gutenberg.org/ebooks/7026,Children's
441,A Little Catechism; With Little Verses and Little Sayings for Little Children,,http://www.gutenberg.org/ebooks/13274,Children's
442,Fifty Famous People: A Book of Short Stories,James Baldwin,http://www.gutenberg.org/ebooks/6168,Children's
443,The Story of Young Abraham Lincoln,Wayne Whipple,http://www.gutenberg.org/ebooks/22925,Children's
444,Stories of Great Inventors,Hattie E. Macomber,http://www.gutenberg.org/ebooks/19533,Children's
445,Ten Boys from History,Kate Dickinson Sweetser,http://www.gutenberg.org/ebooks/23650,Children's
446,American Boy's Life of Theodore Roosevelt,Edward Stratemeyer,http://www.gutenberg.org/ebooks/22352,Children's
447,Dewey and Other Naval Commanders,Edward Sylvester Ellis,http://www.gutenberg.org/ebooks/17253,Children's
448,"Notable Voyagers, From Columbus to Nordenskiold",Frith and Kingston,http://www.gutenberg.org/ebooks/23494,Children's
449,Daniel Boone,Katharine Elliott Wilkie,http://www.gutenberg.org/ebooks/24730,Children's
550,A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,http://www.gutenberg.org/ebooks/46,Children's
551,Alice's Adventures in Wonderland,Lewis Carroll,http://www.gutenberg.org/ebooks/11,Children's
552,Little Women,Louisa May Alcott,http://www.gutenberg.org/ebooks/514,Children's
553,Peter Pan,J. M. Barrie,http://www.gutenberg.org/ebooks/16,Children's
554,Treasure Island,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/120,Children's
555,The Wonderful Wizard of Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/55,Children's
556,Anne of Green Gables,L. M. Montgomery,http://www.gutenberg.org/ebooks/45,Children's
557,"The Happy Prince, and Other Tales",Oscar Wilde,http://www.gutenberg.org/ebooks/902,Children's
558,A Christmas Carol,Charles Dickens,http://www.gutenberg.org/ebooks/19337,Children's
559,The Secret Garden,Frances Hodgson Burnett,http://www.gutenberg.org/ebooks/113,Children's
560,The Jungle Book,Rudyard Kipling,http://www.gutenberg.org/ebooks/236,Children's
561,A Christmas Carol,Charles Dickens,http://www.gutenberg.org/ebooks/24022,Children's
562,The Legend of Sleepy Hollow,Washington Irving,http://www.gutenberg.org/ebooks/41,Children's
563,Through the Looking-Glass,Lewis Carroll,http://www.gutenberg.org/ebooks/12,Children's
564,The Secret Garden,Frances Hodgson Burnett,http://www.gutenberg.org/ebooks/17396,Children's
565,Black Beauty,Anna Sewell,http://www.gutenberg.org/ebooks/271,Children's
566,The Wind in the Willows,Kenneth Grahame,http://www.gutenberg.org/ebooks/289,Children's
567,A Little Princess,Frances Hodgson Burnett,http://www.gutenberg.org/ebooks/146,Children's
568,Alice's Adventures in Wonderland,Lewis Carroll,http://www.gutenberg.org/ebooks/19033,Children's
569,Anne of Avonlea,L. M. Montgomery,http://www.gutenberg.org/ebooks/47,Children's
570,Just So Stories,Rudyard Kipling,http://www.gutenberg.org/ebooks/2781,Children's
571,The Railway Children,E. Nesbit,http://www.gutenberg.org/ebooks/1874,Children's
572,Anne of the Island,L. M. Montgomery,http://www.gutenberg.org/ebooks/51,Children's
573,Kidnapped,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/421,Children's
574,The Blue Fairy Book,Andrew Lang,http://www.gutenberg.org/ebooks/503,Children's
991,The Adventures of Sherlock Holmes,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/1661,Detective
992,The Hound of the Baskervilles,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/2852,Detective
993,A Study in Scarlet,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/244,Detective
994,The Sign of the Four,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/2097,Detective
995,The Mysterious Affair at Styles,Agatha Christie,http://www.gutenberg.org/ebooks/863,Detective
996,The Works of Edgar Allan Poe — Volume 2,Edgar Allan Poe,http://www.gutenberg.org/ebooks/2148,Detective
997,Poirot Investigates,Agatha Christie,http://www.gutenberg.org/ebooks/61262,Detective
998,The Murder on the Links,Agatha Christie,http://www.gutenberg.org/ebooks/58866,Detective
999,The Works of Edgar Allan Poe — Volume 1,Edgar Allan Poe,http://www.gutenberg.org/ebooks/2147,Detective
1000,The Secret Adversary,Agatha Christie,http://www.gutenberg.org/ebooks/1155,Detective
1001,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/834,Detective
1002,The Return of Sherlock Holmes,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/108,Detective
1003,The Man in the Brown Suit,Agatha Christie,http://www.gutenberg.org/ebooks/61168,Detective
1004,The Moonstone,Wilkie Collins,http://www.gutenberg.org/ebooks/155,Detective
1005,The Valley of Fear,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/3289,Detective
1006,The Innocence of Father Brown,G. K. Chesterton,http://www.gutenberg.org/ebooks/204,Detective
1007,His Last Bow: An Epilogue of Sherlock Holmes,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/2350,Detective
1008,Whose Body? A Lord Peter Wimsey Novel,Dorothy L. Sayers,http://www.gutenberg.org/ebooks/58820,Detective
1009,The Red House Mystery,A. A. Milne,http://www.gutenberg.org/ebooks/1872,Detective
1010,The Wisdom of Father Brown,G. K. Chesterton,http://www.gutenberg.org/ebooks/223,Detective
1011,The Leavenworth Case,Anna Katharine Green,http://www.gutenberg.org/ebooks/4047,Detective
1012,The Mystery of the Yellow Room,Gaston Leroux,http://www.gutenberg.org/ebooks/1685,Detective
1013,Hunted Down: The Detective Stories of Charles Dickens,Charles Dickens,http://www.gutenberg.org/ebooks/807,Detective
1014,The Adventure of the Dying Detective,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/2347,Detective
1015,The Adventures of Sherlock Holmes,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/9551,Detective
1041,Dr. Montessori's Own Handbook,Maria Montessori,http://www.gutenberg.org/ebooks/29635,Education
